food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species
214,Celeriac,Vegetables,Root vegetables,278110,genbank,species,4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
215,Apium_graveolens,Vegetables,Stalk vegetables,117781,genbank,species,4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
219,Ginseng,Herbs and Spices,Spices,4054,genbank,species,4054,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,Panax ginseng
224,Longan,Fruits,Tropical fruits,128017,genbank,species,128017,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Dimocarpus,Dimocarpus longan
225,Macadamia tetraphylla,Nuts,Nuts,512563,genbank,species,512563,Eukaryota,Streptophyta,Magnoliopsida,Proteales,Proteaceae,Macadamia,Macadamia tetraphylla
227,Vitis aestivalis,Fruits,Berries,3605,genbank,species,3605,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis aestivalis
228,Vitis_labrusca,Fruits,Berries,103355,genbank,species,103355,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis labrusca
229,Nectarine#Nectarines,Fruits,Drupes,323851,genbank,species,3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica
230,"",Fruits,Drupes,323852,genbank,species,3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica
231,Capsicum_baccatum,Vegetables,Fruit vegetables,165788,genbank,species,33114,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum baccatum
232,Capsicum_chinense,Vegetables,Fruit vegetables,80379,genbank,species,80379,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum chinense
234,Rambutan,Fruits,Tropical fruits,151071,genbank,species,151071,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Nephelium,Nephelium lappaceum
235,Oryza_rufipogon,Cereals and cereal products,Cereals,4529,genbank,species,4529,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza rufipogon
237,Swiss_chard,Vegetables,Leaf vegetables,1527200,genbank,species,161934,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Beta vulgaris
239,"",Vegetables,Cabbages,416546,genbank,species,3712,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea
241,Welsh_onion,Herbs and Spices,Herbs,35875,genbank,species,35875,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium fistulosum
242,Hard_wheat,Cereals and cereal products,Cereals,4567,genbank,species,4571,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum turgidum
244,Rocket_(salad),Vegetables,Leaf vegetables,180536,genbank,species,180536,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria
245,Carrot,Vegetables,Root vegetables,79200,genbank,species,4039,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
247,"",Vegetables,Cabbages,3713,genbank,species,3712,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea
249,Apium_graveolens_var._secalinum,Herbs and Spices,Herbs,941588,genbank,species,4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
251,Komatsuna,Vegetables,Cabbages,344680,genbank,species,3711,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa
252,Pak_choy,Vegetables,Cabbages,93385,genbank,species,3711,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa
253,Napa_cabbage,Vegetables,Cabbages,51351,genbank,species,3711,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica rapa
258,Kai-lan,Vegetables,Cabbages,3714,genbank,species,3712,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea
335,Chinese_broccoli,Vegetables,Cabbages,3714,genbank,species,3712,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica oleracea
261,Daikon,Vegetables,Root vegetables,41679,genbank,species,3726,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
262,"",Vegetables,Root vegetables,41679,genbank,species,3726,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
263,"",Vegetables,Root vegetables,240228,genbank,species,3726,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
266,Salvia_elegans,Herbs and Spices,Herbs,888065,genbank,species,888065,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia elegans
284,Winter squash,Gourds,Gourds,3661,genbank,species,3661,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita maxima
